from https://www2.pvlighthouse.com.au/resources/optics/spectrum%20library/spectrum%20library.aspx
Wavelength 	Spectral irradiance 	Cumulative photon flux
nm      	W⋅m–2⋅nm–1 	cm–2⋅s–1
 
300.000	1.01450E-3	7.65593E+10
301.000	1.92500E-3	3.68068E+11
302.000	3.20000E-3	8.54265E+11
303.000	6.87500E-3	1.90229E+12
304.000	9.92500E-3	3.42024E+12
305.000	1.58500E-2	5.85236E+12
306.000	1.91750E-2	8.80432E+12
307.000	2.80250E-2	1.31328E+13
308.000	3.80500E-2	1.90289E+13
309.000	4.13250E-2	2.54532E+13
310.000	5.25250E-2	3.36450E+13
311.000	7.86250E-2	4.59470E+13
312.000	9.21750E-2	6.04155E+13
313.000	0.104925	7.69381E+13
314.000	0.118750	9.56975E+13
315.000	0.130000	1.16299E+14
316.000	0.128500	1.36728E+14
317.000	0.168500	1.63601E+14
318.000	0.179250	1.92279E+14
319.000	0.197000	2.23895E+14
320.000	0.212500	2.58106E+14
321.000	0.245750	2.97793E+14
322.000	0.224250	3.34122E+14
323.000	0.222250	3.70237E+14
324.000	0.270000	4.14249E+14
325.000	0.290250	4.61707E+14
326.000	0.372250	5.22760E+14
327.000	0.396000	5.87907E+14
328.000	0.363750	6.47932E+14
329.000	0.420000	7.17451E+14
330.000	0.458500	7.93572E+14
331.000	0.412000	8.62181E+14
332.000	0.431250	9.34213E+14
333.000	0.425000	1.00541E+15
334.000	0.419500	1.07590E+15
335.000	0.455500	1.15267E+15
336.000	0.415250	1.22287E+15
337.000	0.381500	1.28755E+15
338.000	0.429750	1.36063E+15
339.000	0.462750	1.43955E+15
340.000	0.493000	1.52388E+15
341.000	0.476750	1.60567E+15
342.000	0.487500	1.68955E+15
343.000	0.504250	1.77657E+15
344.000	0.430250	1.85103E+15
345.000	0.451500	1.92939E+15
346.000	0.481250	2.01317E+15
347.000	0.486500	2.09810E+15
348.000	0.476250	2.18148E+15
349.000	0.471750	2.26431E+15
350.000	0.523750	2.35653E+15
351.000	0.548750	2.45344E+15
352.000	0.512250	2.54415E+15
353.000	0.524250	2.63726E+15
354.000	0.596750	2.74354E+15
355.000	0.604750	2.85154E+15
356.000	0.552750	2.95054E+15
357.000	0.472250	3.03536E+15
358.000	0.429250	3.11268E+15
359.000	0.474500	3.19838E+15
360.000	0.580000	3.30342E+15
361.000	0.527500	3.39923E+15
362.000	0.539250	3.49744E+15
363.000	0.591750	3.60551E+15
364.000	0.598250	3.71506E+15
365.000	0.631750	3.83107E+15
366.000	0.721000	3.96383E+15
367.000	0.720750	4.09691E+15
368.000	0.675000	4.22188E+15
369.000	0.696500	4.35118E+15
370.000	0.732500	4.48754E+15
371.000	0.695250	4.61730E+15
372.000	0.676250	4.74387E+15
373.000	0.607750	4.85792E+15
374.000	0.554250	4.96220E+15
375.000	0.594250	5.07432E+15
376.000	0.664500	5.20002E+15
377.000	0.718500	5.33629E+15
378.000	0.833000	5.49471E+15
379.000	0.745250	5.63681E+15
380.000	0.703000	5.77121E+15
381.000	0.739750	5.91300E+15
382.000	0.590500	6.02649E+15
383.000	0.463250	6.11575E+15
384.000	0.516750	6.21558E+15
385.000	0.649500	6.34138E+15
386.000	0.631000	6.46392E+15
387.000	0.646000	6.58970E+15
388.000	0.634500	6.71356E+15
389.000	0.688500	6.84830E+15
390.000	0.787250	7.00276E+15
391.000	0.840000	7.16800E+15
392.000	0.777000	7.32124E+15
393.000	0.499250	7.41995E+15
394.000	0.512500	7.52154E+15
395.000	0.787500	7.67803E+15
396.000	0.728750	7.82322E+15
397.000	0.506750	7.92444E+15
398.000	0.832000	8.09103E+15
399.000	1.06000	8.30381E+15
400.000	1.11375	8.52794E+15
401.000	1.15875	8.76171E+15
402.000	1.19000	9.00239E+15
403.000	1.16750	9.23910E+15
404.000	1.17375	9.47766E+15
405.000	1.15000	9.71198E+15
406.000	1.12125	9.94101E+15
407.000	1.10875	1.01680E+16
408.000	1.15375	1.04049E+16
409.000	1.19750	1.06513E+16
410.000	1.08750	1.08756E+16
411.000	1.16375	1.11162E+16
412.000	1.22500	1.13701E+16
413.000	1.19500	1.16184E+16
414.000	1.18625	1.18655E+16
415.000	1.22000	1.21202E+16
416.000	1.25125	1.23821E+16
417.000	1.22625	1.26394E+16
418.000	1.18375	1.28883E+16
419.000	1.20125	1.31415E+16
420.000	1.15125	1.33848E+16
421.000	1.24875	1.36493E+16
422.000	1.24750	1.39141E+16
423.000	1.21500	1.41727E+16
424.000	1.21500	1.44319E+16
425.000	1.24000	1.46970E+16
426.000	1.21000	1.49563E+16
427.000	1.17625	1.52090E+16
428.000	1.16750	1.54604E+16
429.000	1.07400	1.56922E+16
430.000	0.889250	1.58846E+16
431.000	0.868000	1.60728E+16
432.000	1.24275	1.63429E+16
433.000	1.22875	1.66106E+16
434.000	1.15625	1.68630E+16
435.000	1.24125	1.71347E+16
436.000	1.34875	1.74305E+16
437.000	1.36500	1.77306E+16
438.000	1.23500	1.80028E+16
439.000	1.19875	1.82675E+16
440.000	1.32500	1.85609E+16
441.000	1.34375	1.88590E+16
442.000	1.41125	1.91728E+16
443.000	1.43250	1.94921E+16
444.000	1.41250	1.98076E+16
445.000	1.43375	2.01286E+16
446.000	1.35125	2.04318E+16
447.000	1.46875	2.07621E+16
448.000	1.49875	2.10999E+16
449.000	1.50750	2.14404E+16
450.000	1.55875	2.17933E+16
451.000	1.59500	2.21552E+16
452.000	1.53500	2.25043E+16
453.000	1.45625	2.28362E+16
454.000	1.51625	2.31825E+16
455.000	1.52750	2.35321E+16
456.000	1.56500	2.38912E+16
457.000	1.57500	2.42533E+16
458.000	1.55125	2.46107E+16
459.000	1.53125	2.49643E+16
460.000	1.52875	2.53181E+16
461.000	1.57375	2.56831E+16
462.000	1.59000	2.60527E+16
463.000	1.59250	2.64236E+16
464.000	1.55375	2.67863E+16
465.000	1.53625	2.71457E+16
466.000	1.54750	2.75085E+16
467.000	1.50750	2.78627E+16
468.000	1.55125	2.82280E+16
